longitude,latitude
4.9230377,52.3644827
4.9229607,52.364659
4.9232904,52.3646007
4.9235279,52.3647455
5.0164788,52.3059739
4.9232801,52.3648912
4.932449,52.3165999
4.9230471,52.3650287
4.9228586,52.3651426
4.9226618,52.3652679
4.9228761,52.3653963
4.9231042,52.3655453
4.9231042,52.3655453
4.9253607,52.3915775
4.9259378,52.3915771
4.9219521,52.3867556
4.9212894,52.3870023
4.9211297,52.3866249
4.9206317,52.3873645
4.9206888,52.3872482
4.9233467,52.3656899
4.9233467,52.3656899
4.8842983,52.3786747
4.883528,52.3785346
4.9235224,52.3655843
4.9320951,52.3662012
4.9323986,52.3662552
4.9323199,52.3667377
4.9323969,52.3670924
4.9323969,52.3670924
4.9323969,52.3670924
4.9232818,52.365437
4.9230787,52.3652788
4.882058,52.3782645
4.8810599,52.3780845
4.9255799,52.391748
4.9261721,52.3917532
4.9233027,52.3651389
4.8909408,52.3579059
4.8909408,52.3579059
4.8906392,52.3574467
4.8906392,52.3574467
4.8905264,52.3566852
4.8905264,52.3566852
4.8902843,52.3561397
4.8902843,52.3561397
4.89035,52.3555771
4.8902367,52.3554584
4.8902367,52.3554584
4.8900758,52.3550781
4.8900758,52.3550781
4.8893046,52.3672416
4.8890935,52.367151
4.8890935,52.367151
4.8838638,52.3645248
4.9926477,52.3929317
4.9507709,52.2994607
4.8834217,52.3627427
4.8834217,52.3627427
4.9257452,52.3919544
4.9379782,52.4004893
4.9508604,52.2997294
4.88463,52.3835857
4.8857072,52.3653156
4.8858994,52.3650549
4.8863333,52.3649301
4.8866421,52.3647351
4.8869352,52.3645546
4.887214,52.3643842
4.8875393,52.3641853
4.8878541,52.3639864
4.8881393,52.3638111
4.8895109,52.3633327
4.8899381,52.3632757
4.8838384,52.3840302
4.8903716,52.3632163
4.8908485,52.3631505
4.8912472,52.3630972
4.9511741,52.2996484
4.8799877,52.3778845
4.8558037,52.3908811
4.8954329,52.3734546
4.8958554,52.3737216
4.8958554,52.3737216
4.8960994,52.3738764
4.8964304,52.3740859
4.8966563,52.3743418
4.8970308,52.3745299
4.8973006,52.3748061
4.8977042,52.3749949
4.8980438,52.3751973
4.8983384,52.3755174
4.8986632,52.3756467
4.898969,52.3758615
4.8992872,52.3760753
4.899716,52.3761809
4.8975989,52.3752447
4.8984073,52.3750643
4.8989387,52.3748729
4.8506114,52.3912584
4.8506114,52.3912584
4.8370214,52.3840135
4.8938992,52.3677048
4.9008388,52.3513864
4.8844773,52.3833973
4.8850134,52.3300808
4.9234951,52.3650274
4.8764216,52.3443061
4.8765234,52.3440049
4.8765234,52.3440049
4.9237458,52.364882
4.92395,52.3650079
4.9056274,52.3833946
4.9054024,52.3833089
4.90663,52.3836402
4.9068521,52.3837399
4.8841111,52.3741254
4.8841111,52.3741254
4.8974131,52.3616928
4.8979369,52.3617895
4.8987062,52.3619387
4.9166044,52.3852493
4.8765741,52.343504
4.8765741,52.343504
4.9241795,52.3651478
4.8827278,52.3848555
4.9162966,52.3854314
4.915227,52.3858089
4.9235995,52.3658518
4.9235995,52.3658518
4.8870013,52.3735632
4.8873727,52.3732488
4.8873727,52.3732488
4.8763578,52.3439299
4.8763294,52.3898923
4.8557608,52.3906466
4.874425,52.382392
4.8803985,52.3819892
4.8709691,52.3920994
4.9038271,52.3826755
4.8482988,52.376645
4.9084892,52.3393352
4.9052045,52.3397392
4.9081215,52.3396257
4.8760487,52.3438908
4.9072704,52.3398825
4.9048155,52.3889167
4.9275025,52.3848468
4.9018934,52.3938846
4.8106475,52.3750063
